Course,Previous qualification,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Gender,Age at enrollment,Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),GDP,Target
2,1,13,14,8,8,0,18,0,0,0,0,0,0,0,0,0,0.79,Graduate
11,15,1,1,4,7,0,39,13,14,13,13.76923077,9,12,16,12,14.58333333,0.79,Graduate
4,1,23,27,10,10,0,29,18,20,18,15.44444444,11,13,13,13,15.30769231,-4.06,Graduate
16,1,13,14,5,8,0,18,7,9,6,11.5,0,7,8,7,12.71428571,0.79,Enrolled
5,3,22,2,10,4,0,23,3,3,2,10,0,6,0,0,0,1.74,Need Additional Support
16,1,1,27,6,6,0,21,6,8,4,12.25,0,6,13,3,10.33333333,-1.7,Need Additional Support
10,1,1,14,5,5,0,18,6,6,6,14.5,0,6,6,6,15.16666667,1.74,Graduate
6,15,1,14,6,6,0,23,6,7,6,15.57142857,0,6,8,6,16.375,1.79,Graduate
8,1,1,14,5,5,0,18,6,7,6,15.57142857,0,6,7,6,14.71428571,2.02,Graduate
3,12,22,27,5,9,0,32,6,8,5,13.8,0,6,7,6,12.16666667,-3.12,Graduate
9,1,13,27,10,8,0,29,5,8,3,10.66666667,0,5,14,2,14.8,1.74,Need Additional Support
10,1,1,28,32,35,0,20,6,8,5,11.6,0,6,8,4,11.75,3.51,Graduate
10,1,19,24,1,1,0,28,6,11,1,13,0,6,12,0,0,-3.12,Need Additional Support
9,3,23,28,2,10,0,27,5,9,3,12,0,5,11,4,13.625,1.74,Graduate
12,1,22,24,12,1,0,22,14,14,12,12.33333333,11,14,14,12,12.33333333,0.32,Graduate
4,12,13,27,10,11,0,37,6,10,6,12.875,0,6,12,6,12.9,-0.92,Enrolled
3,3,22,28,1,6,0,28,6,12,1,11,0,6,0,0,0,-1.7,Need Additional Support
4,1,22,27,10,10,0,43,6,10,4,12.25,0,6,13,4,10.5,3.51,Need Additional Support
13,1,22,27,10,10,0,32,7,7,0,0,0,8,8,0,0,1.74,Need Additional Support
10,1,1,1,10,10,0,20,6,11,4,10.75,0,6,13,5,11.5,-4.06,Enrolled
12,12,23,1,10,5,0,35,8,9,8,13.63,0,8,9,8,13.63,-3.12,Graduate
14,1,22,27,1,1,0,21,5,8,3,13,0,5,7,4,11.5,0.32,Graduate
12,1,13,14,8,10,0,18,7,9,6,13.53333333,0,7,7,7,12.22857143,1.79,Enrolled
12,1,3,28,4,8,0,18,7,7,7,16.9,0,8,9,8,16.37777778,-0.92,Graduate
10,1,13,14,6,9,0,18,6,10,5,12,0,6,11,4,12,-0.92,Graduate
3,14,13,27,8,7,0,22,6,6,6,12.5,2,6,7,6,13.28571429,1.79,Graduate
12,1,1,1,5,11,0,19,8,8,7,12.76428571,0,8,8,7,12.76428571,1.74,Graduate
9,1,13,28,10,8,0,18,5,8,5,13.75,0,5,6,5,12.16666667,0.79,Graduate
2,1,24,1,4,5,0,19,0,0,0,0,0,0,0,0,0,1.79,Need Additional Support
12,1,13,1,10,6,0,18,7,7,7,14.60428571,0,8,9,8,15.68333333,2.02,Graduate
17,12,13,29,6,4,0,31,5,7,0,0,0,5,7,0,0,-0.92,Need Additional Support
3,12,1,14,2,6,0,33,6,9,5,13.83333333,0,6,7,6,12.5,-3.12,Graduate
12,1,13,28,8,8,0,19,8,8,8,13.57625,0,8,8,8,13.57625,-3.12,Graduate
10,1,23,28,8,8,0,18,6,7,6,15.14285714,0,6,6,6,15.83333333,-1.7,Graduate
9,1,7,14,5,4,0,23,5,8,3,10.66666667,0,5,8,5,11.6,0.32,Graduate
10,1,23,28,6,8,0,20,6,11,5,11.2,0,6,6,6,12,-3.12,Graduate
12,1,23,28,5,9,0,18,8,8,8,13.76375,0,8,8,8,13.76375,-3.12,Graduate
6,16,1,1,5,4,0,21,9,10,8,13.25,4,9,14,5,12.2,3.51,Enrolled
10,1,13,28,6,7,0,22,6,10,5,10.71428571,0,6,10,5,12.2,-1.7,Graduate
10,1,1,14,5,5,0,20,6,6,6,12.16666667,0,6,7,6,11.66666667,-3.12,Graduate
12,3,13,28,5,11,0,23,7,8,6,14.35714286,1,7,8,6,14.35714286,0.32,Graduate
15,1,3,1,5,6,0,19,6,6,6,12.83333333,0,6,6,6,12.66666667,-0.92,Graduate
12,1,1,27,2,2,0,19,8,8,7,13.92571429,0,8,8,7,13.92571429,1.74,Graduate
17,1,13,28,8,5,0,26,5,9,2,12,0,5,9,3,11,1.74,Need Additional Support
12,1,1,27,5,4,0,18,7,7,7,13.44285714,0,8,9,8,13.74444444,-0.92,Graduate
7,1,1,27,8,8,1,18,5,5,1,16,0,5,5,0,0,-3.12,Need Additional Support
4,14,23,27,10,10,1,20,6,8,6,13.125,0,6,10,6,13.2,-0.92,Graduate
14,1,3,1,5,5,1,19,6,7,0,0,0,6,6,0,0,-4.06,Need Additional Support
17,1,22,27,10,10,1,32,9,9,5,11.4,4,4,4,4,11,1.74,Need Additional Support
8,1,13,14,5,5,1,31,4,12,2,11,0,5,9,3,11.66666667,-3.12,Need Additional Support
7,12,1,14,5,6,1,25,5,13,1,11,0,5,11,1,10,0.79,Enrolled
6,14,13,3,10,2,0,21,6,14,5,13.66666667,2,6,10,5,13,-0.92,Graduate
17,1,22,27,5,10,0,31,6,10,4,11.75,0,5,6,1,10,-1.7,Need Additional Support
16,1,22,27,6,6,0,34,7,11,1,10,0,7,7,1,13,-0.92,Need Additional Support
10,1,13,14,10,10,0,18,6,8,6,13.5,0,6,9,6,12.83333333,2.02,Graduate
10,1,13,14,10,10,0,19,6,0,0,0,0,6,0,0,0,1.79,Need Additional Support
14,16,13,27,4,7,0,21,6,12,1,12,0,6,11,1,11,3.51,Enrolled
16,1,23,27,6,4,0,18,6,11,3,13,0,6,10,5,11.8,-3.12,Need Additional Support
11,1,13,29,5,9,0,20,6,7,6,14.83333333,0,6,6,6,16,2.02,Graduate
15,1,23,27,10,6,0,20,6,6,6,11.83333333,0,6,7,6,12.85714286,-4.06,Graduate
14,1,23,28,8,9,0,18,6,10,5,12,0,6,11,5,12.33333333,2.02,Graduate
10,1,23,28,8,9,0,19,6,11,4,12.75,0,6,7,6,11.33333333,0.32,Graduate
6,1,13,14,6,2,0,19,5,5,0,0,0,5,7,4,14.75,-1.7,Enrolled
8,1,3,1,6,6,0,30,6,7,0,0,0,6,16,1,10,2.02,Need Additional Support
10,1,13,28,6,6,0,19,6,6,6,12,0,6,7,6,12.85714286,2.02,Graduate
13,1,23,27,8,8,0,19,7,9,7,11.67777778,0,8,8,8,13.8,-1.7,Graduate
12,1,1,27,5,8,0,19,8,8,7,13.6,0,8,8,7,13.6,-1.7,Graduate
6,1,13,28,10,10,0,19,6,7,6,16,0,6,8,6,15.875,1.79,Graduate
10,1,1,1,4,4,0,20,6,9,5,11.8,0,6,7,6,11.5,0.32,Graduate
7,1,13,27,10,4,1,25,5,5,0,0,2,6,7,2,14,0.79,Need Additional Support
15,1,13,14,10,10,1,19,6,0,0,0,0,6,0,0,0,1.79,Need Additional Support
16,1,22,14,8,4,0,34,6,7,6,16.14285714,0,6,10,6,16.2,-3.12,Graduate
12,1,23,27,10,6,0,18,8,8,7,11.78571429,0,8,8,7,11.78571429,-1.7,Graduate
12,1,1,1,5,6,0,18,8,8,8,13.42375,0,8,8,8,13.42375,-3.12,Graduate
14,1,23,28,10,11,0,20,6,8,6,12.5,0,6,10,5,14.16666667,2.02,Graduate
12,1,13,27,10,8,0,20,8,8,7,12.46428571,0,8,8,7,12.46428571,1.74,Graduate
17,1,23,28,29,44,0,23,11,18,8,12.375,3,9,15,5,12.6,3.51,Enrolled
14,1,22,27,7,7,0,28,6,8,1,10,0,6,9,0,0,1.74,Need Additional Support
15,1,22,14,10,11,0,18,6,8,5,12.6,0,6,10,6,12.42857143,-4.06,Enrolled
9,1,13,28,10,10,0,19,5,5,5,12.6,0,5,6,4,12.4,-0.92,Graduate
9,1,23,27,10,9,0,34,5,7,2,10,0,5,6,4,12,0.32,Need Additional Support
16,1,22,27,8,9,0,35,7,7,0,0,0,6,0,0,0,3.51,Need Additional Support
17,15,22,27,10,8,0,32,5,7,5,11.6,0,5,8,5,12.33333333,1.79,Graduate
11,1,13,14,5,8,0,19,6,8,6,12.16666667,0,6,6,6,13.5,2.02,Graduate
14,1,1,14,10,8,0,18,6,10,4,13.6,0,6,7,5,12.66666667,2.02,Graduate
9,1,22,27,10,10,0,35,5,8,4,12.5,0,5,8,5,11.8,-3.12,Need Additional Support
3,1,1,10,5,6,1,24,6,6,4,12.25,0,6,10,4,11.5,1.79,Enrolled
10,1,13,27,10,10,0,20,6,7,6,11.71428571,0,6,8,6,12.625,0.79,Graduate
15,1,13,14,5,10,1,18,6,7,6,13.5,0,6,7,6,13,-0.92,Graduate
12,1,23,14,8,10,1,20,8,8,7,13.02428571,0,8,8,7,13.02428571,1.74,Graduate
11,1,1,14,5,8,1,18,6,12,0,0,0,6,0,0,0,-3.12,Need Additional Support
7,1,13,14,5,5,1,18,5,6,5,17.33333333,0,5,8,5,18.57142857,1.79,Graduate
14,1,13,27,6,8,1,20,5,7,4,11,0,5,7,4,11.5,-3.12,Graduate
16,1,13,28,4,4,1,19,7,10,6,13.66666667,0,7,9,6,12.5,1.79,Need Additional Support
5,1,1,1,5,10,1,20,6,9,6,11.375,0,6,6,5,13.8,0.32,Enrolled
10,1,13,1,10,10,1,19,6,6,6,12.83333333,0,6,8,6,11.83333333,1.74,Graduate
15,1,21,27,1,1,1,20,6,9,5,12.6,0,6,11,4,11.5,0.32,Graduate
12,1,13,14,10,8,1,22,7,8,6,14.33333333,0,8,9,7,13.77142857,2.02,Graduate
7,1,1,14,10,9,1,18,5,8,4,13.5,0,6,10,6,13.625,2.02,Enrolled
12,1,23,28,10,10,1,19,8,8,7,14.28571429,0,8,8,7,14.28571429,-1.7,Graduate
4,14,1,14,10,8,1,22,6,15,3,11.75,0,6,12,2,10,0.79,Need Additional Support
7,1,4,10,3,10,1,20,5,5,5,14.8,0,5,5,5,17.6,3.51,Graduate
4,1,1,31,10,4,1,34,6,7,0,0,0,6,0,0,0,1.79,Need Additional Support
3,12,1,1,5,5,1,24,6,14,1,10,0,5,5,0,0,-0.92,Need Additional Support
14,1,19,24,1,1,1,26,5,5,0,0,0,5,5,0,0,0.32,Need Additional Support
12,1,22,27,10,7,1,35,7,10,4,12.6,0,7,9,5,12.38,1.79,Need Additional Support
17,1,2,27,5,10,1,22,5,9,5,12.42857143,0,5,7,5,11.8,0.32,Graduate
11,1,23,28,6,6,1,26,6,10,4,10,0,6,11,3,12,-3.12,Enrolled
9,1,1,14,4,5,1,19,5,7,3,12.33333333,0,5,5,0,0,3.51,Need Additional Support
11,1,3,14,4,10,1,19,6,0,0,0,0,6,0,0,0,3.51,Need Additional Support
2,14,3,3,3,3,1,20,0,0,0,0,0,0,0,0,0,-4.06,Graduate
14,1,3,3,2,11,1,21,11,12,10,12.1,2,8,9,8,13.33333333,2.02,Graduate
15,1,1,14,8,8,0,19,6,7,6,14.71428571,0,6,6,6,15,0.79,Graduate
15,1,13,14,10,10,0,18,6,6,6,12.66666667,0,6,7,6,12.83333333,-1.7,Graduate
4,16,1,28,9,9,0,23,12,14,12,14.38461538,5,10,12,10,13.3,3.51,Graduate
9,1,13,28,6,8,0,18,5,5,5,13.4,0,5,6,5,12.2,-1.7,Graduate
12,1,22,28,6,8,0,18,8,8,7,13.31428571,0,8,8,7,13.31428571,-1.7,Graduate
12,1,23,28,10,10,0,19,8,8,7,11.98857143,0,8,8,7,11.98857143,1.74,Graduate
9,16,1,14,21,37,0,21,11,17,11,11.54545455,3,9,13,8,12.88888889,3.51,Graduate
6,1,22,27,10,7,0,18,6,13,6,16.46153846,0,6,8,6,13.875,-4.06,Graduate
15,1,23,27,10,6,0,24,6,7,6,13.66666667,0,6,6,6,12.83333333,1.74,Graduate
12,1,3,29,3,4,0,18,7,8,7,12.65,0,8,9,8,13.41111111,-0.92,Need Additional Support
14,1,13,1,6,8,0,18,6,7,6,12.33333333,0,6,10,3,12,0.79,Enrolled
12,1,13,27,10,8,0,20,7,8,6,14.37,0,8,10,7,14.65,1.79,Graduate
6,1,1,14,5,10,0,19,5,13,3,12,0,5,8,4,11.75,-3.12,Enrolled
15,1,19,28,1,9,0,18,6,12,3,12,0,6,15,3,10.66666667,0.32,Need Additional Support
11,1,1,14,6,8,0,19,6,11,4,12,0,6,14,3,11,1.74,Need Additional Support
16,1,1,28,5,9,0,19,6,10,5,12.6,0,6,7,5,11.2,1.74,Graduate
10,3,1,28,10,4,0,18,6,6,6,12.16666667,0,6,6,6,12.33333333,1.74,Graduate
16,1,13,1,32,16,0,20,7,8,6,13.5,0,7,8,6,14,2.02,Enrolled
12,1,23,28,10,10,0,18,8,8,8,13.76375,0,8,8,8,13.76375,-3.12,Graduate
13,1,23,28,6,6,0,19,7,11,6,12.4,0,7,8,6,12.8,2.02,Graduate
9,1,3,28,3,11,0,18,5,16,4,10.66666667,0,5,11,2,12,0.79,Enrolled
12,1,22,27,10,10,0,18,7,7,6,14.33333333,0,7,7,6,14.33333333,0.32,Graduate
6,1,1,27,5,10,0,21,6,12,4,12.5,0,6,13,2,12.66666667,2.02,Enrolled
11,1,19,28,1,8,0,19,6,14,1,10,0,6,13,0,0,0.32,Need Additional Support
12,1,1,1,4,4,0,21,7,8,7,14.69625,0,8,9,8,14.62222222,1.79,Graduate
6,1,4,1,3,10,0,18,6,14,4,11.5,0,6,17,3,13.75,2.02,Enrolled
13,1,13,28,10,8,0,18,7,9,7,12.85555556,0,8,8,8,13.9125,-1.7,Graduate
12,1,1,1,4,11,0,18,7,7,7,13.7,0,8,9,8,13.99444444,2.02,Graduate
8,1,3,1,2,4,0,23,5,9,0,0,1,5,10,1,12,1.74,Need Additional Support
10,1,13,27,8,8,0,20,6,13,3,11.2,0,6,9,4,12,-0.92,Enrolled
12,1,23,28,6,6,0,18,7,7,7,13.28571429,0,8,9,8,13.33333333,-0.92,Graduate
16,1,1,14,3,11,0,19,6,9,5,13,0,6,8,5,10.4,0.32,Enrolled
12,1,1,28,4,8,0,27,7,8,6,12.6,0,7,9,6,11.68571429,1.79,Enrolled
9,1,22,27,10,7,0,19,5,5,5,12.8,0,5,5,4,12,2.02,Enrolled
8,1,1,14,10,10,0,21,6,14,5,11.5,0,6,13,5,11,-4.06,Need Additional Support
12,1,22,28,8,9,0,19,8,8,7,11.4,0,8,8,7,11.4,1.74,Graduate
10,1,22,27,7,10,0,21,6,6,6,12.33333333,2,6,8,6,11.33333333,0.79,Graduate
15,1,13,14,10,10,0,18,6,7,5,12.8,0,6,10,4,12.2,1.74,Graduate
6,1,13,28,8,8,0,20,5,8,5,12,0,5,8,4,15,-1.7,Graduate
16,1,22,27,10,8,0,18,6,8,5,13,0,6,9,5,13.5,-3.12,Graduate
5,1,1,1,5,9,0,18,6,6,6,11.83333333,0,6,8,6,11,-1.7,Need Additional Support
6,1,1,3,5,5,0,18,6,8,6,14,0,6,9,6,13.33333333,3.51,Graduate
15,1,1,1,4,4,0,18,6,6,6,12.33333333,0,6,6,6,13.5,-0.92,Graduate
12,1,1,1,8,8,0,19,7,10,5,13.04,0,7,7,7,12.5,1.79,Enrolled
6,16,13,28,9,10,0,23,11,18,11,13.16666667,4,9,15,8,13.33333333,3.51,Enrolled
6,12,13,14,5,10,0,24,6,7,6,12.5,0,6,11,6,12.83333333,3.51,Graduate
2,1,1,1,4,4,0,19,0,0,0,0,0,0,0,0,0,1.74,Graduate
12,1,13,14,10,10,0,18,8,8,7,15.65714286,0,8,8,7,15.65714286,-1.7,Graduate
5,1,1,14,5,4,0,19,6,6,6,12.16666667,0,6,6,6,11.33333333,-1.7,Graduate
16,1,23,14,5,10,0,19,6,0,0,0,0,6,0,0,0,1.74,Need Additional Support
10,1,1,28,6,9,0,20,6,11,5,10.6,0,6,9,5,11.16666667,2.02,Enrolled
6,1,1,10,5,6,0,20,6,10,6,13.42857143,0,6,11,5,12.66666667,0.79,Enrolled
15,1,19,27,1,1,0,26,6,8,4,11.75,0,6,12,0,0,0.32,Need Additional Support
11,12,13,1,10,6,1,36,5,10,0,0,0,5,5,0,0,-4.06,Need Additional Support
2,1,1,1,5,11,1,19,0,0,0,0,0,0,0,0,0,1.74,Need Additional Support
7,1,13,27,10,10,1,27,5,0,0,0,0,5,0,0,0,-4.06,Need Additional Support
7,1,3,1,15,31,1,18,5,9,1,13,0,5,5,0,0,3.51,Need Additional Support
12,1,22,28,10,10,1,18,8,8,7,13.33142857,0,8,8,7,13.33142857,1.74,Graduate
5,1,23,28,6,6,1,28,6,0,0,0,0,6,0,0,0,1.79,Need Additional Support
2,14,13,1,10,10,1,21,0,0,0,0,0,0,0,0,0,1.79,Graduate
12,1,13,27,5,10,1,19,7,7,6,13.7,0,7,7,6,13.7,0.32,Graduate
14,7,6,16,4,4,1,26,5,5,0,0,0,5,5,0,0,-3.12,Need Additional Support
7,1,1,14,4,6,1,20,9,12,9,13.45454545,2,7,9,6,13.875,2.02,Need Additional Support
12,1,23,28,10,10,1,19,8,8,7,12.2,0,8,8,7,12.2,-1.7,Graduate
9,1,13,14,8,4,1,21,5,8,3,10,0,5,10,4,11,-1.7,Need Additional Support
14,16,1,14,10,10,1,23,6,7,5,13,0,6,7,6,12.85714286,3.51,Graduate
3,13,23,27,5,9,1,29,6,11,6,12,0,6,6,6,14,2.02,Graduate
12,1,1,1,10,10,1,20,8,8,7,15.02857143,0,8,8,7,15.02857143,-1.7,Graduate
10,1,1,14,6,10,1,18,6,8,6,12,0,6,7,6,11.71428571,-4.06,Graduate
15,1,1,28,4,6,1,19,6,8,5,12,0,6,8,5,12.4,-3.12,Graduate
13,3,1,27,5,9,1,23,7,7,3,13.66666667,3,8,8,3,11.33333333,1.74,Need Additional Support
2,1,23,1,6,2,1,21,0,0,0,0,0,0,0,0,0,0.79,Need Additional Support
9,1,1,1,10,4,1,18,5,6,5,12,0,5,7,4,12.5,-4.06,Enrolled
2,1,22,14,8,8,1,18,0,0,0,0,0,0,0,0,0,1.74,Graduate
5,1,13,27,6,6,1,21,6,6,1,14,0,6,7,0,0,-3.12,Need Additional Support
10,1,1,1,6,10,1,22,6,6,0,0,0,6,7,0,0,2.02,Need Additional Support
13,1,3,14,3,9,1,21,7,8,7,12.375,0,7,11,5,12.58333333,3.51,Graduate
12,1,23,14,10,10,1,32,7,0,0,0,0,8,0,0,0,-0.92,Need Additional Support
4,3,1,14,5,2,1,27,18,21,18,11.42105263,10,13,16,13,11.07692308,-4.06,Graduate
12,1,13,28,10,9,1,18,7,7,6,13.35,0,7,7,6,13.35,0.32,Graduate
5,1,1,1,6,4,1,24,6,6,6,15,0,6,6,2,16,-4.06,Graduate
8,1,13,27,2,10,1,22,5,9,2,10.5,0,5,5,0,0,-1.7,Need Additional Support
8,1,2,3,4,3,1,22,6,0,0,0,0,4,6,0,0,1.74,Need Additional Support
9,1,22,27,10,6,1,19,5,8,5,13.25,0,5,6,5,11.83333333,0.79,Graduate
7,1,22,11,5,12,1,19,5,10,0,0,0,5,5,0,0,0.32,Need Additional Support
6,1,1,14,4,4,1,21,5,7,4,11.5,0,5,15,3,10.6,1.74,Enrolled
12,1,1,1,3,8,0,18,8,8,8,13.88125,0,8,8,8,13.88125,-3.12,Graduate
11,1,3,14,4,11,0,18,6,8,6,11.33333333,0,6,8,5,12.6,-3.12,Graduate
2,1,13,14,10,10,0,20,0,0,0,0,0,0,0,0,0,-0.92,Need Additional Support
10,1,1,14,5,10,0,19,6,7,6,12.85714286,0,6,7,6,13.66666667,0.79,Graduate
15,1,23,28,29,39,0,19,6,6,5,11.6,0,6,6,6,12.5,3.51,Graduate
11,1,10,1,10,4,0,18,6,9,5,11.4,0,6,6,6,11.33333333,1.79,Graduate
8,1,1,1,4,10,0,20,6,11,6,13.33333333,0,6,10,6,13,-0.92,Enrolled
5,14,10,27,4,10,0,22,7,7,7,13.57142857,5,9,9,9,13.77777778,1.79,Graduate
13,12,22,28,10,10,0,31,7,13,6,11.83333333,0,7,8,7,12.22857143,1.79,Graduate
16,1,13,14,10,9,0,19,7,7,7,14.42857143,0,7,7,7,14.14285714,-0.92,Graduate
2,1,1,3,4,4,0,18,0,0,0,0,0,0,0,0,0,1.79,Enrolled
11,1,23,28,10,8,0,18,6,8,6,12.28571429,0,6,9,5,12.4,3.51,Graduate
6,1,10,1,2,12,0,21,5,7,5,14.4,0,5,5,5,13.8,0.32,Graduate
12,1,23,1,10,8,0,18,7,8,7,13.15,0,8,9,8,15.06875,0.79,Graduate
9,14,2,27,3,9,1,25,5,6,0,0,0,5,5,0,0,-4.06,Need Additional Support
7,1,1,3,6,9,1,21,5,5,0,0,0,6,8,0,0,2.02,Need Additional Support
12,1,23,27,6,6,0,19,8,8,7,12.34285714,0,8,8,7,12.34285714,1.74,Graduate
15,1,23,1,10,10,0,19,6,6,5,12.2,0,6,7,5,10.8,1.74,Enrolled
11,1,9,24,6,1,0,22,6,10,4,10.5,0,6,14,1,11,0.32,Need Additional Support
9,1,23,1,10,2,1,19,5,5,5,10.6,0,5,8,5,11.6,1.79,Graduate
3,12,22,27,10,6,0,58,6,6,0,0,0,6,6,0,0,2.02,Need Additional Support
10,1,13,27,10,8,0,19,6,8,4,11.25,0,6,6,6,12,1.74,Graduate
14,1,22,27,10,10,1,23,9,11,6,10.5,4,10,10,10,11.7,-3.12,Graduate
15,1,22,27,10,10,0,19,6,11,4,11,0,6,11,3,11.66666667,-3.12,Enrolled
12,1,13,1,5,8,0,18,7,7,7,13.45714286,0,8,8,8,14.5125,0.79,Graduate
6,1,13,14,12,12,0,20,5,6,5,12.6,0,5,8,4,12.33333333,0.32,Graduate
6,1,13,14,12,8,0,18,6,0,0,0,0,6,0,0,0,-1.7,Need Additional Support
14,1,3,14,6,6,0,18,6,6,6,13.66666667,0,6,8,5,13.6,3.51,Graduate
9,1,13,14,6,8,0,18,5,5,5,11.6,0,5,5,5,11.8,2.02,Graduate
8,1,23,28,10,11,0,24,6,9,6,12.57142857,0,6,10,5,12.83333333,2.02,Need Additional Support
16,1,22,27,10,6,0,18,6,7,5,11.8,0,6,7,5,11.4,1.74,Need Additional Support
9,1,1,28,6,8,0,19,5,5,5,11.6,0,5,11,3,12.66666667,-3.12,Enrolled
10,1,13,28,10,8,0,19,6,8,6,11.33333333,0,6,6,6,11.83333333,3.51,Graduate
11,1,23,28,7,7,0,18,6,6,6,10.66666667,0,6,6,6,11.5,0.32,Graduate
8,1,13,27,10,10,0,18,5,10,4,13.5,0,5,5,5,13.4,-1.7,Enrolled
2,1,13,14,6,6,0,19,0,0,0,0,0,0,0,0,0,1.74,Graduate
6,1,4,4,3,7,0,22,6,9,6,13.33333333,1,6,9,4,11.5,0.79,Graduate
11,1,2,27,2,2,0,19,6,9,5,13.4,0,6,16,2,13.5,1.74,Enrolled
10,1,22,27,10,10,0,21,6,8,3,10.2,0,6,13,4,12.25,-1.7,Enrolled
15,1,13,28,10,8,0,21,6,6,5,13,0,6,7,6,12.83333333,3.51,Graduate
12,1,23,28,6,8,0,18,8,11,7,12.90857143,0,8,11,7,12.90857143,1.74,Graduate
16,1,1,10,5,10,0,20,6,12,4,12,0,6,11,1,10,1.74,Need Additional Support
11,1,22,28,8,8,0,18,6,9,6,10.83333333,0,6,8,5,11,0.32,Enrolled
5,1,1,28,5,9,0,19,6,6,6,15.33333333,0,6,9,6,15.83333333,-1.7,Graduate
12,1,1,28,10,10,0,18,7,9,6,12.81666667,0,8,11,6,12.875,2.02,Enrolled
9,1,26,1,4,5,1,26,7,7,6,13,2,6,6,2,14,2.02,Need Additional Support
7,1,1,3,21,31,0,19,6,11,2,13.5,0,5,11,2,11,3.51,Enrolled
3,1,22,27,10,10,0,35,6,7,6,12.5,0,6,6,6,12.16666667,-4.06,Graduate
14,1,1,1,10,10,0,19,6,7,6,13,0,6,6,6,14.33333333,1.79,Graduate
6,1,23,27,10,7,1,18,5,6,4,11.75,0,5,10,5,12.57142857,1.74,Graduate
14,1,13,14,8,4,1,19,5,5,4,12.5,0,5,5,4,14.25,0.32,Graduate
2,1,1,1,10,10,1,25,17,19,17,11.61111111,14,17,22,17,12.05555556,1.79,Graduate
11,1,1,1,5,4,1,18,6,6,6,14,0,6,6,6,14.66666667,2.02,Graduate
4,1,1,4,10,6,1,26,6,8,0,0,0,6,10,0,0,-0.92,Need Additional Support
17,1,1,1,7,7,1,34,5,5,5,13.8,0,5,6,5,13.83333333,-3.12,Graduate
11,1,4,14,5,4,1,18,5,6,0,0,0,5,5,0,0,-1.7,Need Additional Support
2,1,3,20,4,6,1,18,0,0,0,0,0,0,0,0,0,-3.12,Need Additional Support
7,1,1,14,5,4,1,18,5,9,4,12.25,0,5,9,3,12.33333333,3.51,Need Additional Support
4,14,22,27,10,5,1,20,6,12,3,11.5,0,6,12,3,13.66666667,1.79,Need Additional Support
5,14,1,14,5,5,1,25,7,9,6,12.57142857,5,9,9,9,12.55555556,-0.92,Graduate
8,1,2,1,5,2,1,18,6,9,6,12,0,6,10,5,12.16666667,2.02,Need Additional Support
4,1,13,27,10,10,1,19,12,17,11,12,4,12,21,12,12.30769231,-4.06,Graduate
2,1,1,1,5,2,1,20,0,0,0,0,0,0,0,0,0,1.74,Need Additional Support
10,1,13,27,6,8,1,20,7,9,6,12,2,6,6,6,11.16666667,1.74,Graduate
7,1,3,1,3,4,1,20,5,9,4,11.6,0,5,7,4,12.25,0.32,Enrolled
9,1,1,27,5,10,1,19,5,5,0,0,0,5,5,0,0,2.02,Need Additional Support
9,1,1,14,5,6,1,20,5,9,5,12,0,5,9,4,13,3.51,Enrolled
12,1,1,1,4,8,1,18,7,8,6,13.97666667,0,8,12,6,12.04166667,2.02,Enrolled
14,1,2,28,21,35,1,19,6,10,4,12.5,0,6,12,1,10,-0.92,Enrolled
9,1,22,27,8,8,1,20,5,5,0,0,0,5,0,0,0,-3.12,Need Additional Support
14,1,23,27,8,8,1,24,6,15,4,10.5,0,6,16,4,12.5,-4.06,Need Additional Support
4,14,23,28,10,9,1,20,6,8,5,12.85714286,0,6,11,6,12.3,-0.92,Graduate
14,1,3,14,3,9,1,19,5,7,3,11.66666667,0,5,5,4,12,-3.12,Enrolled
7,1,1,14,5,5,1,23,5,7,2,13,0,5,11,1,10,3.51,Need Additional Support
11,1,13,14,5,4,1,20,6,8,6,11.83333333,0,6,9,5,10.4,0.32,Enrolled
3,1,19,24,1,1,1,21,11,11,11,12.45454545,3,11,17,8,12.75,-3.12,Graduate
7,1,8,10,10,10,1,20,5,6,3,11,0,5,6,0,0,1.74,Need Additional Support
7,1,22,28,5,5,1,21,5,10,4,13.2,0,5,7,4,14.25,0.32,Enrolled
15,1,1,14,10,8,1,18,6,6,6,15.5,0,6,6,6,14.16666667,2.02,Graduate
11,1,1,1,5,4,1,18,6,8,6,12.33333333,0,6,6,6,13.66666667,2.02,Graduate
9,1,3,28,4,8,1,18,5,13,5,12,0,5,9,4,11.4,0.79,Enrolled
4,14,3,3,8,2,1,20,6,12,4,11.6,0,6,11,5,11.5,-4.06,Enrolled
15,1,13,28,5,10,1,18,6,7,6,11.33333333,0,6,8,6,12.28571429,-0.92,Graduate
15,1,22,27,1,5,1,19,6,12,0,0,0,6,0,0,0,-3.12,Need Additional Support
7,1,1,3,10,11,1,20,5,7,4,12,0,5,8,2,12.5,1.74,Enrolled
8,1,13,28,5,8,1,19,5,11,4,12,0,5,9,5,12.6,-3.12,Graduate
17,1,22,27,10,6,1,33,5,11,2,12.5,0,5,9,2,11.5,-1.7,Need Additional Support
